Year,Max Demand,State
2021,1333274.0,Chhattisgarh
2022,1445402.0,Chhattisgarh
2023,1597604.0,Chhattisgarh
2024,317183.0,Chhattisgarh
2013,1581255.0,Haryana
2014,2126051.8,Haryana
2015,2212523.0,Haryana
2016,2366352.91,Haryana
2017,2360355.7800000003,Haryana
2018,2388600.52,Haryana
2019,2458100.0,Haryana
2020,2300346.0,Haryana
2021,2522604.0,Haryana
2022,2695295.0,Haryana
2023,2893606.0,Haryana
2024,492058.0,Haryana
2013,1058913.0,Delhi
2014,1355738.0,Delhi
2015,1360695.0,Delhi
2016,1445534.0,Delhi
2017,1503753.0,Delhi
2018,1529890.0,Delhi
2019,1569740.0,Delhi
2020,1394045.0,Delhi
2021,1495846.0,Delhi
2022,1676055.0,Delhi
2023,1668466.0,Delhi
2024,293181.0,Delhi
2020,587057,J&K(UT) & Ladakh(UT)
2021,820687,J&K(UT) & Ladakh(UT)
2022,828620,J&K(UT) & Ladakh(UT)
2023,873088,J&K(UT) & Ladakh(UT)
2024,175244,J&K(UT) & Ladakh(UT)
2013,406011.0,Uttarakhand
2014,544556.0,Uttarakhand
2015,571414.0,Uttarakhand
2016,598344.1900000001,Uttarakhand
2017,605972.01,Uttarakhand
2018,633103.61,Uttarakhand
2019,623533.0,Uttarakhand
2020,570616.0,Uttarakhand
2021,644706.0,Uttarakhand
2022,694525.0,Uttarakhand
2023,706372.0,Uttarakhand
2024,141031.0,Uttarakhand
2013,312764.0,HP
2014,407698.784,HP
2015,411207.0,HP
2016,428860.63,HP
2017,433752.54000000004,HP
2018,461958.71,HP
2019,476452.0,HP
2020,447095.0,HP
2021,524020.0,HP
2022,561038.0,HP
2023,573565.0,HP
2024,122348.0,HP
2013,49253.0,Tripura
2014,68745.0,Tripura
2015,70819.0,Tripura
2016,76790.0,Tripura
2017,75347.0,Tripura
2018,79471.0,Tripura
2019,84299.0,Tripura
2020,82049.0,Tripura
2021,86691.0,Tripura
2022,87634.0,Tripura
2023,92706.0,Tripura
2024,13946.0,Tripura
2013,66290.0,Meghalaya
2014,88673.0,Meghalaya
2015,94528.0,Meghalaya
2016,91608.0,Meghalaya
2017,90159.0,Meghalaya
2018,100501.0,Meghalaya
2019,108004.0,Meghalaya
2020,103570.0,Meghalaya
2021,112020.0,Meghalaya
2022,114132.0,Meghalaya
2023,110136.0,Meghalaya
2024,21003.0,Meghalaya
2013,26969.0,Manipur
2014,38523.0,Manipur
2015,43620.0,Manipur
2016,44364.0,Manipur
2017,48768.0,Manipur
2018,55832.0,Manipur
2019,55446.0,Manipur
2020,62472.0,Manipur
2021,67825.0,Manipur
2022,67127.0,Manipur
2023,64856.0,Manipur
2024,12923.0,Manipur
2013,23478.0,Nagaland
2014,33887.0,Nagaland
2015,35298.0,Nagaland
2016,35026.0,Nagaland
2017,36352.0,Nagaland
2018,39041.0,Nagaland
2019,40724.0,Nagaland
2020,40405.0,Nagaland
2021,44975.0,Nagaland
2022,48057.0,Nagaland
2023,50029.0,Nagaland
2024,8767.0,Nagaland
2013,98634.0,Goa
2014,131784.0,Goa
2015,132315.0,Goa
2016,141152.0,Goa
2017,146407.0,Goa
2018,635661.0,Goa
2019,173759.0,Goa
2020,144943.0,Goa
2021,182399.0,Goa
2022,202512.0,Goa
2023,223202.0,Goa
2024,40702.0,Goa
2013,25670.0,Arunachal Pradesh
2014,34753.0,Arunachal Pradesh
2015,33211.0,Arunachal Pradesh
2016,35712.0,Arunachal Pradesh
2017,36338.0,Arunachal Pradesh
2018,38063.0,Arunachal Pradesh
2019,39281.0,Arunachal Pradesh
2020,35311.0,Arunachal Pradesh
2021,42519.0,Arunachal Pradesh
2022,45336.0,Arunachal Pradesh
2023,51985.0,Arunachal Pradesh
2024,10261.0,Arunachal Pradesh
2020,90737,Puducherry
2021,126703,Puducherry
2022,132294,Puducherry
2023,141809,Puducherry
2024,23923,Puducherry
2013,14743.0,Mizoram
2014,23998.0,Mizoram
2015,25033.0,Mizoram
2016,25756.0,Mizoram
2017,25871.0,Mizoram
2018,27898.0,Mizoram
2019,30543.0,Mizoram
2020,31214.0,Mizoram
2021,36246.0,Mizoram
2022,37519.0,Mizoram
2023,40290.0,Mizoram
2024,8587.0,Mizoram
2013,62439.0,Chandigarh
2014,78734.0,Chandigarh
2015,77179.0,Chandigarh
2016,81171.0,Chandigarh
2017,79624.0,Chandigarh
2018,78669.0,Chandigarh
2019,80518.0,Chandigarh
2020,75183.0,Chandigarh
2021,80341.0,Chandigarh
2022,87876.0,Chandigarh
2023,87577.0,Chandigarh
2024,16616.0,Chandigarh
2013,23001.0,Sikkim
2014,28553.0,Sikkim
2015,29301.0,Sikkim
2016,29147.0,Sikkim
2017,28507.0,Sikkim
2018,30582.0,Sikkim
2019,30301.0,Sikkim
2020,32385.0,Sikkim
2021,31175.0,Sikkim
2022,33653.0,Sikkim
2023,30554.0,Sikkim
2024,7037.0,Sikkim
